week_start,trend_index_raw,trend_index,trend_index_ma4,trend_index_z
2022-04-24,17.25,40.67796610169491,36.652542372881356,1.8065945274103525
2022-05-01,15.0,33.05084745762712,35.38135593220339,1.119134533098524
2022-05-08,15.75,35.59322033898305,34.95762711864407,1.3482878645358003
2022-05-15,14.0,29.661016949152543,34.74576271186441,0.8135967578488223
2022-05-22,12.25,23.728813559322035,30.508474576271187,0.27890565116184446
2022-05-29,14.75,32.20338983050848,30.29661016949153,1.0427500892860988
2022-06-05,13.75,28.8135593220339,28.60169491525424,0.737212314036397
2022-06-12,12.75,25.423728813559322,27.542372881355934,0.4316745387866952
2022-06-19,16.5,38.13559322033898,31.144067796610173,1.5774411959730763
2022-06-26,14.0,29.661016949152543,30.508474576271187,0.8135967578488223
2022-07-03,15.0,33.05084745762712,31.567796610169495,1.119134533098524
2022-07-10,17.5,41.52542372881356,35.59322033898305,1.8829789712227778
2022-07-17,16.75,38.983050847457626,35.80508474576271,1.6538256397855018
2022-07-24,16.75,38.983050847457626,38.13559322033898,1.6538256397855018
2022-07-31,16.25,37.28813559322034,39.19491525423729,1.501056752160651
2022-08-07,14.0,29.661016949152543,36.228813559322035,0.8135967578488223
2022-08-14,14.5,31.35593220338983,34.32203389830509,0.9663656454736731
2022-08-21,13.75,28.8135593220339,31.779661016949152,0.737212314036397
2022-08-28,13.0,26.271186440677965,29.02542372881356,0.5080589825991206
2022-09-04,14.0,29.661016949152543,29.02542372881356,0.8135967578488223
2022-09-11,13.0,26.271186440677965,27.754237288135595,0.5080589825991206
2022-09-18,12.0,22.88135593220339,26.271186440677965,0.2025212073494191
2022-09-25,12.25,23.728813559322035,25.635593220338983,0.27890565116184446
2022-10-02,11.75,22.033898305084747,23.728813559322035,0.12613676353699374
2022-10-09,10.75,18.64406779661017,21.822033898305087,-0.17940101171270806
2022-10-16,9.5,14.40677966101695,19.703389830508474,-0.561323230774835
2022-10-23,9.0,12.711864406779661,16.949152542372882,-0.7140921183996859
2022-10-30,8.25,10.169491525423728,13.983050847457626,-0.9432454498369622
2022-11-06,8.0,9.322033898305085,11.652542372881355,-1.0196298936493875
2022-11-13,9.0,12.711864406779661,11.228813559322033,-0.7140921183996859
2022-11-20,10.75,18.64406779661017,12.711864406779661,-0.17940101171270806
2022-11-27,9.25,13.559322033898304,13.559322033898306,-0.6377076745872606
2022-12-04,9.5,14.40677966101695,14.830508474576272,-0.561323230774835
2022-12-11,10.25,16.949152542372882,15.889830508474578,-0.3321698993375588
2022-12-18,10.5,17.796610169491526,15.677966101694917,-0.25578545552513343
2022-12-25,11.75,22.033898305084747,17.796610169491526,0.12613676353699374
2023-01-01,9.25,13.559322033898304,17.584745762711865,-0.6377076745872606
2023-01-08,13.0,26.271186440677965,19.915254237288135,0.5080589825991206
2023-01-15,14.25,30.508474576271187,23.093220338983052,0.8899812016612477
2023-01-22,11.25,20.338983050847457,22.669491525423727,-0.026632124087857315
2023-01-29,34.75,100.0,44.27966101694915,7.153505594280131
2023-02-05,12.75,25.423728813559322,44.06779661016949,0.4316745387866952
2023-02-12,11.75,22.033898305084747,41.949152542372886,0.12613676353699374
2023-02-19,13.5,27.966101694915253,43.85593220338983,0.6608278702239713
2023-02-26,13.0,26.271186440677965,25.423728813559322,0.5080589825991206
2023-03-05,11.0,19.491525423728813,23.940677966101696,-0.10301656790028269
2023-03-12,12.0,22.88135593220339,24.152542372881356,0.2025212073494191
2023-03-19,12.75,25.423728813559322,23.516949152542374,0.4316745387866952
2023-03-26,13.75,28.8135593220339,24.152542372881356,0.737212314036397
2023-04-02,14.75,32.20338983050848,27.33050847457627,1.0427500892860988
2023-04-09,12.75,25.423728813559322,27.966101694915253,0.4316745387866952
2023-04-16,14.0,29.661016949152543,29.02542372881356,0.8135967578488223
2023-04-23,15.5,34.74576271186441,30.508474576271187,1.2719034207233748
2023-04-30,13.5,27.966101694915253,29.449152542372882,0.6608278702239713
2023-05-07,14.0,29.661016949152543,30.508474576271187,0.8135967578488223
2023-05-14,14.25,30.508474576271187,30.720338983050844,0.8899812016612477
2023-05-21,14.25,30.508474576271187,29.661016949152543,0.8899812016612477
2023-05-28,13.5,27.966101694915253,29.661016949152543,0.6608278702239713
2023-06-04,12.75,25.423728813559322,28.60169491525424,0.4316745387866952
2023-06-11,12.75,25.423728813559322,27.330508474576273,0.4316745387866952
2023-06-18,13.5,27.966101694915253,26.694915254237287,0.6608278702239713
2023-06-25,15.0,33.05084745762712,27.966101694915253,1.119134533098524
2023-07-02,13.25,27.11864406779661,28.389830508474574,0.5844434264115459
2023-07-09,14.0,29.661016949152543,29.44915254237288,0.8135967578488223
2023-07-16,12.25,23.728813559322035,28.389830508474574,0.27890565116184446
2023-07-23,13.0,26.271186440677965,26.694915254237287,0.5080589825991206
2023-07-30,13.25,27.11864406779661,26.694915254237287,0.5844434264115459
2023-08-06,11.25,20.338983050847457,24.364406779661017,-0.026632124087857315
2023-08-13,12.0,22.88135593220339,24.152542372881356,0.2025212073494191
2023-08-20,12.0,22.88135593220339,23.305084745762713,0.2025212073494191
2023-08-27,10.75,18.64406779661017,21.186440677966104,-0.17940101171270806
2023-09-03,11.75,22.033898305084747,21.610169491525426,0.12613676353699374
2023-09-10,9.25,13.559322033898304,19.279661016949152,-0.6377076745872606
2023-09-17,8.75,11.864406779661017,16.52542372881356,-0.7904765622121113
2023-09-24,9.0,12.711864406779661,15.04237288135593,-0.7140921183996859
2023-10-01,9.25,13.559322033898304,12.923728813559322,-0.6377076745872606
2023-10-08,9.75,15.254237288135593,13.347457627118645,-0.48493878696240966
2023-10-15,8.75,11.864406779661017,13.347457627118645,-0.7904765622121113
2023-10-22,7.75,8.474576271186441,12.288135593220339,-1.096014337461813
2023-10-29,8.25,10.169491525423728,11.440677966101694,-0.9432454498369622
2023-11-05,7.75,8.474576271186441,9.745762711864407,-1.096014337461813
2023-11-12,8.0,9.322033898305085,9.110169491525424,-1.0196298936493875
2023-11-19,8.25,10.169491525423728,9.533898305084746,-0.9432454498369622
2023-11-26,8.5,11.016949152542374,9.745762711864407,-0.8668610060245366
2023-12-03,9.0,12.711864406779661,10.805084745762713,-0.7140921183996859
2023-12-10,8.25,10.169491525423728,11.016949152542372,-0.9432454498369622
2023-12-17,9.75,15.254237288135593,12.288135593220339,-0.48493878696240966
2023-12-24,11.25,20.338983050847457,14.61864406779661,-0.026632124087857315
2023-12-31,9.0,12.711864406779661,14.61864406779661,-0.7140921183996859
2024-01-07,8.25,10.169491525423728,14.61864406779661,-0.9432454498369622
2024-01-14,10.0,16.10169491525424,14.830508474576272,-0.4085543431499842
2024-01-21,10.5,17.796610169491526,14.194915254237287,-0.25578545552513343
2024-01-28,8.5,11.016949152542374,13.771186440677965,-0.8668610060245366
2024-02-04,8.75,11.864406779661017,14.194915254237287,-0.7904765622121113
2024-02-11,10.0,16.10169491525424,14.194915254237289,-0.4085543431499842
2024-02-18,11.25,20.338983050847457,14.830508474576273,-0.026632124087857315
2024-02-25,8.75,11.864406779661017,15.04237288135593,-0.7904765622121113
2024-03-03,11.25,20.338983050847457,17.161016949152543,-0.026632124087857315
2024-03-10,9.25,13.559322033898304,16.525423728813557,-0.6377076745872606
2024-03-17,11.0,19.491525423728813,16.313559322033896,-0.10301656790028269
2024-03-24,12.25,23.728813559322035,19.279661016949152,0.27890565116184446
