zip5,active_shop_count,population,median_income,median_gross_rent,median_home_value,young_adult_share,supply_per_10k,demand_score,supply_score,gap_score,regional_cost_score,regional_feasibility_score,city_trend_index,quadrant
98034,4,51836,128974,2324.0,875200.0,0.0586079172775677,0.7716644802839726,80.27471838989383,15.22759134903898,65.04712704085486,57.49464794560165,42.50535205439835,11.493644067796609,HighDemand_HighSupply
98002,2,37284,77714,1613.0,397700.0,0.0568608518399313,0.5364231305653899,69.78034457620822,6.311252935076871,63.46909164113135,21.805278455932076,78.19472154406793,11.493644067796609,HighDemand_LowSupply
98052,9,79074,164848,2339.0,1107900.0,0.0529377545084351,1.1381743683132257,99.02380339711046,35.767074597635336,63.25672879947512,64.2296790448233,35.7703209551767,11.493644067796609,HighDemand_HighSupply
98074,1,30850,234013,2685.0,1211700.0,0.0335818476499189,0.3241491085899514,62.9110802271194,1.104991568297818,61.80608865882158,78.14275565361018,21.85724434638982,11.493644067796609,LowDemand_LowSupply
98011,1,28250,127445,2223.0,888000.0,0.0442477876106194,0.35398230088495575,62.12279515958047,1.3407780242194762,60.782017135360995,54.59143770572524,45.40856229427476,11.493644067796609,LowDemand_LowSupply
98112,1,23961,162073,2062.0,1407400.0,0.0518342306247652,0.41734485205125,59.839508396914724,1.841563566374042,57.99794483054068,63.37185386226901,36.62814613773099,11.493644067796609,LowDemand_LowSupply
98107,2,28390,137748,2194.0,924900.0,0.0708700246565692,0.7044734061289186,64.87327781639813,7.639437277535504,57.23384053886262,54.650610572658714,45.349389427341286,11.493644067796609,HighDemand_LowSupply
98028,1,23594,137926,1944.0,869800.0,0.0433160973128761,0.4238365686191405,58.72967719437206,1.8928708092347775,56.83680638513728,45.13253380741839,54.86746619258161,11.493644067796609,LowDemand_LowSupply
98032,4,40150,77413,1782.0,473000.0,0.0751930261519302,0.9962640099626401,73.63746169690795,17.00271238137557,56.634749315532375,29.26198785437384,70.73801214562616,11.493644067796609,HighDemand_HighSupply
98166,1,22001,112191,1739.0,785700.0,0.0389982273533021,0.45452479432753057,57.16871584196541,2.135415016597958,55.03330082536745,36.28196219331919,63.71803780668081,11.493644067796609,LowDemand_LowSupply
98121,1,20904,148974,2329.0,796600.0,0.0476942212016838,0.47837734404898585,57.2591142964829,2.3239334999001575,54.93518079658274,55.54337167255239,44.45662832744761,11.493644067796609,LowDemand_LowSupply
98122,6,42001,106479,1991.0,929400.0,0.1468298373848241,1.4285374157758148,82.0839624859414,27.476292465961055,54.60767001998035,48.2450711272503,51.7549288727497,11.493644067796609,HighDemand_HighSupply
98126,1,22433,114030,1708.0,751900.0,0.0308028351089912,0.44577185396514063,56.65916568153955,2.0662362050737517,54.5929294764658,34.377086013309594,65.6229139866904,11.493644067796609,LowDemand_LowSupply
98033,4,40662,174005,2386.0,1259900.0,0.044685455708032,0.9837194432147952,70.96927450088683,16.903566473512324,54.0657080273745,69.8250566132301,30.174943386769897,11.493644067796609,HighDemand_HighSupply
98008,2,27138,175242,2480.0,1130000.0,0.0501879283661286,0.7369739848183359,61.9288884233924,7.896305405786864,54.03258301760554,69.35667339661681,30.643326603383187,11.493644067796609,LowDemand_LowSupply
98199,1,22751,176729,2461.0,1160000.0,0.01692233308426,0.43954111907168913,55.506681468247216,2.016991629307707,53.48968983893951,69.55193970620506,30.44806029379494,11.493644067796609,LowDemand_LowSupply
98108,2,24430,90806,1463.0,693500.0,0.0690544412607449,0.8186655751125664,61.88192062204713,8.541954398479682,53.33996622356745,24.931086554215792,75.0689134457842,11.493644067796609,LowDemand_HighSupply
98055,2,24851,100207,2098.0,561600.0,0.0575027161884833,0.8047965876624683,61.030894421849354,8.43234093955969,52.59855348228966,41.8021308351548,58.1978691648452,11.493644067796609,LowDemand_HighSupply
98109,4,32552,130845,2329.0,986000.0,0.0982735315802408,1.228803145736053,70.55197412367829,18.840584042742478,51.711390080935814,60.63265677082169,39.36734322917831,11.493644067796609,HighDemand_HighSupply
98040,2,25282,202359,2464.0,1884200.0,0.0377343564591408,0.7910766553279013,59.37485393924906,8.32390553684906,51.050948402399996,89.10805331619291,10.891946683807092,11.493644067796609,LowDemand_LowSupply
98102,3,26583,114395,1920.0,988700.0,0.0875371478012263,1.1285407967498025,65.25005448879742,14.51960625992634,50.730448228871076,47.55584321430182,52.44415678569818,11.493644067796609,HighDemand_HighSupply
98072,2,24922,174599,2334.0,1067000.0,0.0340662868148623,0.8025038118931065,58.75263541706697,8.414220000052612,50.33841541701436,62.96992274531088,37.03007725468912,11.493644067796609,LowDemand_HighSupply
98106,3,28889,115529,1824.0,666800.0,0.0575651632109107,1.03845754439406,63.90097469331697,13.807633816588,50.093340876728966,35.81980488687366,64.18019511312633,11.493644067796609,LowDemand_HighSupply
98007,3,26838,126814,2276.0,934600.0,0.0639019300991132,1.11781801922647,63.0784743316148,14.43485885224492,48.64361547936988,57.547557881167634,42.452442118832366,11.493644067796609,LowDemand_HighSupply
