zip5,population,median_income,young_adult_share,median_gross_rent,median_home_value
01354,1831,90000,0.0617149098853085,1337.0,323900.0
01355,963,80327,0.0342679127725856,1180.0,357400.0
01360,2875,102470,0.0410434782608695,1189.0,337200.0
01364,7668,54061,0.0404277516953573,745.0,226000.0
01366,1173,107656,0.0383631713554987,1214.0,375000.0
01367,574,89375,0.0418118466898954,1536.0,271100.0
01368,1497,101875,0.0601202404809619,1031.0,325200.0
01370,3641,76715,0.0400988739357319,1057.0,334000.0
01373,4784,102578,0.0328177257525083,1351.0,387500.0
01375,3653,61442,0.172460990966329,1613.0,391200.0
01376,5032,57857,0.0496820349761526,1147.0,237800.0
01378,861,95000,0.024390243902439,1375.0,301400.0
01379,742,68750,0.0296495956873315,1726.0,271300.0
01380,32,70893,0.0,1772.3249999999998,129200.0
01420,41677,70334,0.0912973582551527,1131.0,294600.0
01430,6450,115146,0.0727131782945736,2878.6499999999996,369700.0
01431,3188,110536,0.0476787954830614,969.0,362200.0
01432,8124,105142,0.0665928114229443,1373.0,419800.0
01434,1889,109651,0.0799364743250397,1286.0,472100.0
01436,3720,88421,0.0163978494623655,1109.0,308100.0
01438,192,-666666666,0.0052083333333333,1100.0,243300.0
01440,21298,63526,0.0376561179453469,1071.0,270500.0
01450,11228,189355,0.0647488421802636,1521.0,673500.0
01451,5359,206607,0.0403060272438887,1387.0,849200.0
01452,4339,102344,0.0566950910348006,898.0,342100.0
01453,43635,82098,0.0562850922424659,1282.0,345900.0
01460,10150,146250,0.0570443349753694,1542.0,633000.0
01462,11822,109884,0.0397563863982405,1784.0,442900.0
01463,11693,126824,0.0357478833490122,1303.0,459800.0
01464,7017,121875,0.0292147641442211,1189.0,412700.0
01468,4157,110938,0.0562905941784941,1308.0,358700.0
01469,6803,113162,0.0383654270174922,1121.0,385200.0
01473,8289,101161,0.0312462299432983,1643.0,394000.0
01474,2249,130156,0.1160515784793241,2368.0,427600.0
01475,10194,85638,0.0648420639591916,1245.0,294900.0
01501,16780,101929,0.0284266984505363,1241.0,363400.0
01503,3311,122411,0.0446994865599516,1432.0,566800.0
01504,9211,98986,0.03636955813701,1157.0,394600.0
01505,4896,124732,0.0177696078431372,1833.0,578700.0
01506,3442,71875,0.0685647879140034,1043.0,313200.0
01507,13359,119809,0.0306160640766524,1215.0,405200.0
01510,15430,93849,0.0628645495787427,1353.0,348000.0
01515,2120,76382,0.0636792452830188,997.0,342400.0
01516,9287,147859,0.0550231506406805,1537.0,436700.0
01518,2835,111193,0.0472663139329806,1051.0,410100.0
01519,7738,153750,0.0728870509175497,2266.0,573200.0
01520,16864,147582,0.0368833017077798,1578.0,444300.0
01521,2576,86806,0.0570652173913043,1750.0,288700.0
01522,3021,118824,0.0615690168818272,1100.0,386100.0
01523,8470,130444,0.0639905548996458,1985.0,467400.0
01524,6110,93191,0.0458265139116202,1055.0,390800.0
01525,0,-666666666,,1100.0,200000.0
01527,13899,116000,0.0395711921720987,1507.0,415600.0
01529,3156,115789,0.0408745247148289,1275.0,418000.0
01531,925,99375,0.0259459459459459,1094.0,387200.0
01532,15694,174358,0.0546705747419395,2087.0,598500.0
01534,6097,134539,0.03231097260948,1170.0,451800.0
01535,4739,81010,0.0666807343321375,973.0,316500.0
01536,7119,105795,0.0285152409046214,2644.875,450500.0
01537,1821,94261,0.1015925315760571,1223.0,338000.0
01540,11521,118389,0.0465237392587449,1135.0,346000.0
01541,3500,150577,0.0494285714285714,921.0,496400.0
01542,2572,107674,0.0182737169517884,1571.0,380300.0
01543,9202,155504,0.0607476635514018,998.0,439200.0
01545,38440,136225,0.045525494276795,2046.0,555500.0
01550,17806,59397,0.0897450297652476,1157.0,267000.0
01560,4914,98884,0.0461945461945461,1364.0,442900.0
01561,0,-666666666,,1100.0,200000.0
01562,11961,79086,0.0524203661901178,1085.0,368300.0
01564,8111,136027,0.0314387868326963,1606.0,467400.0
01566,7054,135802,0.0154522256875531,1677.0,393000.0
01568,7926,161429,0.0398687862730254,4035.725,558600.0
01569,14127,122458,0.0644864443972534,1480.0,417900.0
01570,17674,68934,0.0580513749009845,1135.0,339600.0
01571,11886,85179,0.0910314655897694,1188.0,372400.0
01581,21591,134474,0.0384419434023435,2038.0,637900.0
01583,7516,100427,0.0399148483235763,1248.0,399700.0
01585,4942,70753,0.0,1153.0,319800.0
01588,10357,88735,0.0616008496668919,1263.0,413600.0
01590,9287,155938,0.0566383116183913,1167.0,526400.0
01602,25791,94351,0.0835175061067814,1471.0,380800.0
01603,21034,63646,0.0932300085575734,1339.0,287800.0
01604,39988,72911,0.062668800640192,1570.0,321900.0
01605,31086,54805,0.0782989126938171,1362.0,349800.0
01606,22269,92537,0.0450850958731869,1615.0,343700.0
01607,8755,66365,0.0797258709308966,1356.0,341300.0
01608,4951,45962,0.1573419511209856,1461.0,117100.0
01609,23184,61411,0.1929779158040027,1212.0,422100.0
01610,28719,43757,0.1656394721264668,1339.0,279100.0
01611,2401,118389,0.090795501874219,1040.0,306400.0
01612,4996,133750,0.0998799039231385,1364.0,464700.0
01701,32270,127000,0.0543848775952897,1973.0,612600.0
01702,39761,78784,0.0794748623022559,1822.0,563600.0
01718,528,125972,0.0,3149.2999999999997,359300.0
01719,5468,151000,0.0863204096561814,1816.0,671800.0
01720,23322,154101,0.0384615384615384,1908.0,766500.0
01721,18694,127106,0.0490531721407938,2334.0,586000.0
01730,14478,158286,0.0363309849426716,2430.0,878200.0
01731,1745,101194,0.030945558739255,3501.0,455373.0
01740,5698,198475,0.0294840294840294,1632.0,722300.0
01741,5209,250001,0.0420426185448262,1409.0,1055600.0
01742,18337,211435,0.0443365872280089,2471.0,1139200.0
01745,660,180833,0.0757575757575757,4200.0,647400.0
01746,14964,154684,0.0501202886928628,1651.0,620500.0
01747,6024,115216,0.0913014608233731,1819.0,456000.0
01748,19050,204418,0.031023622047244,2500.0,726100.0
01749,19959,107202,0.0427877148153715,1416.0,480300.0
01752,41398,95047,0.0582636842359534,1721.0,485400.0
01754,10663,119549,0.0381693707211854,1678.0,494200.0
01756,6266,129837,0.0499521225662304,1947.0,605500.0
01757,30473,92951,0.0503068289961605,1702.0,444100.0
01760,36520,134644,0.0412924424972617,2061.0,740700.0
01770,4404,247500,0.0338328792007266,2313.0,944400.0
01772,9781,196680,0.0383396380738165,2425.0,816500.0
01773,5257,197292,0.0233973749286665,2162.0,1169800.0
01775,7109,177862,0.0302433534955689,1829.0,657900.0
01776,19067,234634,0.027062463942938,1427.0,939400.0
01778,13915,219531,0.0416816385195831,1403.0,935700.0
01801,41205,107754,0.0774420580026695,2190.0,641800.0
01803,26068,142421,0.0566978671167715,2615.0,679400.0
01810,35608,167591,0.0496236800718939,2046.0,813800.0
01821,30203,142564,0.0560871436612257,2211.0,581300.0
